CIPDESC,mean_roi,median_roi,mean_debt,median_debt,mean_earnings,median_earnings,mean_growth,median_growth,mean_growth_ratio,median_growth_ratio,count
Accounting and Related Services.,3.118565583717433,3.018445502645503,26078.703363914374,25000.0,73048.38508371385,71752.0,18640.022328548643,18443.0,1.3521309109549715,1.3401747078092774,654
"Aerospace, Aeronautical, and Astronautical/Space Engineering.",4.2589389691428945,3.916916996047431,23693.8,24846.0,97584.12727272727,97915.0,23713.943396226416,23567.0,1.3281907442821002,1.330019768426998,55
Agricultural Business and Management.,3.508456347450029,3.1712428533962758,19846.41935483871,20000.0,66459.51612903226,63223.5,17590.29508196721,17431.0,1.3636816179896472,1.3684384285242654,62
"Agriculture, General.",2.6812999935346893,2.5231641791044774,20782.290322580644,20000.0,53115.51612903226,52293.0,10567.48275862069,11419.0,1.2770907582770994,1.2917103078298633,31
Air Transportation.,3.2672572149522754,3.102703344504306,23838.85714285714,24500.0,75407.38095238095,75280.0,31999.444444444445,30691.5,1.7666093363750333,1.7306423563970115,42
"Allied Health Diagnostic, Intervention, and Treatment Professions.",2.6104504500759553,2.435900769230769,26082.70987654321,27000.0,66690.66666666667,63861.0,7755.8592592592595,5431.0,1.2255048205914976,1.0721384263793667,162
Animal Sciences.,2.53493647413534,2.4276451122439853,21706.662162162163,21843.0,53422.78378378379,53618.0,19220.527027027027,18989.0,1.5930170562041623,1.516338434478024,74
Anthropology.,2.2437332725747283,2.031132430398796,22296.46896551724,22887.0,46851.73103448276,45884.0,18009.198529411766,17645.0,1.6656238653433828,1.6476028128385034,145
Apparel and Textiles.,2.3509155503051695,2.218060606060606,23948.333333333332,24750.0,54592.30952380953,54897.0,17500.926829268294,17212.0,1.4863038995354134,1.447678093848772,42
Applied Mathematics.,5.492469299527817,4.639201704773783,18987.363636363636,17678.0,94707.45454545454,90036.0,35402.40909090909,34678.0,1.6482182065406974,1.5529939363572354,22
Architecture.,2.6043617410451247,2.517893351182508,26614.636363636364,27000.0,67183.16666666667,67025.0,21349.666666666668,20272.5,1.5167793362964408,1.4342020743730115,66
Area Studies.,3.3540083531932505,2.8995540564868847,19712.25,20026.5,60744.895833333336,58971.5,24882.733333333334,22975.0,1.746048205263694,1.6648030495552733,48
"Arts, Entertainment, and Media Management.",1.759793914362501,1.704989844683393,26199.321428571428,25726.5,44694.03571428572,43454.0,17267.333333333332,16071.0,1.6770312088414954,1.571380908248378,28
Audiovisual Communications Technologies/Technicians.,1.5350562874543319,1.443682336182336,31785.85,27000.0,41204.22727272727,38309.0,16812.0,17352.0,1.86962845172157,1.7713995764207553,20
Bible/Biblical Studies.,1.6962879465995906,1.6605812547241119,27048.29411764706,25625.0,43467.76470588235,43246.5,8716.607142857143,9157.0,1.3465251507822438,1.2956728575532406,34
"Biochemistry, Biophysics and Molecular Biology.",3.731541971213637,3.2367613231208736,20909.21,20974.0,69824.95,68971.0,31263.172413793105,31532.0,1.8807888050306383,1.8489002801454373,100
Biological and Physical Sciences.,2.9502592970123276,2.553153846153846,23400.379310344826,26000.0,64971.862068965514,66382.0,28191.655172413793,29839.0,1.8674978186573559,1.8626224080361402,29
"Biology, General.",2.6888131062576592,2.523548530019049,23789.185503685505,25000.0,60819.0758873929,61102.0,28971.269337016576,28776.0,1.9687174908253762,1.868465301744568,814
Biomedical/Medical Engineering.,4.452604344908756,4.119043498842901,22581.522727272728,22900.5,95067.07954545454,94444.0,29600.220930232557,28468.5,1.4765104357409662,1.4293454407869846,88
"Business Administration, Management and Operations.",2.638689343570934,2.453027390911827,26648.02946593002,26000.0,64532.45027624309,62800.0,17140.82490636704,16477.0,1.3768181286800607,1.3500021558385855,1086
"Business, Management, Marketing, and Related Support Services, Other.",2.9132972328767988,2.9996518573064965,27160.5,26250.0,70629.125,71425.0,20966.545454545456,21429.5,1.4306939488583001,1.4477138352384706,24
"Business/Commerce, General.",2.486239864964421,2.3308276753960557,29289.257777777777,26432.0,64931.350877192985,62571.5,16855.062222222223,16419.0,1.3688426014713413,1.354901467121375,225
Business/Corporate Communications.,2.59433386640818,2.1860384615384616,24381.666666666668,26000.0,60341.42857142857,56837.0,21597.85714285714,24392.0,1.5857521251981783,1.7517953459701032,21
Business/Managerial Economics.,3.930915637368429,3.785219512195122,22108.872727272726,22977.0,83281.82142857143,81304.5,30638.056603773584,30340.0,1.5830109316839875,1.6159478083328016,55
Cell/Cellular Biology and Anatomical Sciences.,3.8570867638481303,3.5226797267959675,19839.0625,19437.5,72421.34375,70612.5,36222.9,36005.0,2.080006915884904,1.9902513446464951,32
Chemical Engineering.,4.451610820516582,3.970823404125203,23173.680555555555,23274.0,98121.52083333333,97009.5,24794.95804195804,23317.0,1.3510997136094895,1.3140834620577253,144
Chemistry.,3.1705016417622023,2.803396428019253,22609.738372093023,23750.0,67893.0,68050.0,26588.69536423841,26987.0,1.6833443593189783,1.6378488125029511,172
Civil Engineering.,3.8568049425730413,3.47309133064301,23662.289215686276,24500.0,86246.43137254902,85732.5,17245.645320197043,16761.0,1.2533725501523634,1.2454761755682173,204
"Clinical, Counseling and Applied Psychology.",2.2800433675010683,1.9779670934676878,26082.863636363636,26000.0,50924.02127659575,50408.0,18250.62162162162,18098.0,1.6408887431798749,1.6301518438177873,44
Clinical/Medical Laboratory Science/Research and Allied Professions.,2.8601336524499534,2.7816629737648695,27504.155172413793,26384.5,74328.81034482758,72149.5,8951.137931034482,6652.5,1.1593382306038824,1.1057114534711363,58
Communication Disorders Sciences and Services.,2.8050579338006436,2.6513004445696753,21823.956989247312,21927.0,58781.72580645161,58669.5,33279.688888888886,32897.0,2.4436429322196123,2.273723854758151,186
Communication and Media Studies.,2.349036458754964,2.2044283484958145,24712.941605839416,25000.0,54195.903284671534,53107.0,18735.00374531835,17900.0,1.5573304703333548,1.5152526390142511,548
Computer Engineering.,5.359037862241113,4.656175046465387,23038.67213114754,23668.5,114191.0737704918,108654.0,31707.325,28007.5,1.3968290767898452,1.3413411961614288,122
Computer Programming.,2.776043012240287,2.669694041867955,32636.291666666668,31050.0,84622.54166666667,82894.0,24519.416666666668,30344.0,1.4567468576514344,1.539901040683394,24
Computer Science.,5.47757232686518,4.4455,22885.695473251028,23026.0,111296.25514403293,106149.0,36415.76050420168,32854.5,1.5039872518347737,1.457103212823662,243
Computer Software and Media Applications.,2.1145883470932967,1.5267407407407407,34446.71698113208,36916.0,58414.16981132075,53738.0,18586.28846153846,15810.5,1.5043814648410376,1.462546047297114,53
Computer Systems Analysis.,2.1666068213817264,1.6214130434782608,39817.5,46000.0,76928.68181818182,74585.0,23961.238095238095,22780.0,1.4478801951800289,1.4397258951838625,22
Computer Systems Networking and Telecommunications.,2.654528035313195,2.2353304894694466,33953.81578947369,27000.0,76772.63157894737,73315.0,16855.157894736843,12775.0,1.2805430590818545,1.2110175090849025,38
"Computer and Information Sciences, General.",4.048487502763736,3.690299808262158,26265.735042735043,25000.0,93342.25,88078.5,28730.4265129683,26659.0,1.4596620408463874,1.4136679574212991,351
Computer/Information Technology Administration and Management.,2.8905353547861963,2.8496536161230335,32604.183333333334,29484.5,83669.98333333334,77609.0,22731.172413793105,22109.5,1.3744510011825481,1.333379829231871,60
Construction Engineering Technology/Technician.,4.268973018109011,3.806973646723647,23140.933333333334,24744.5,91901.66666666667,90767.5,19529.2,19820.5,1.2707011921058442,1.2667041284628278,30
Construction Management.,3.906671597949309,3.7879191321499013,24601.542857142857,24600.0,91798.8,92673.0,19994.457142857143,21060.0,1.283693984794705,1.2724207776978225,35
Criminal Justice and Corrections.,2.079147939582611,2.0987037037037037,28299.532338308458,26000.0,52794.22039473684,53314.0,14345.510135135135,13743.5,1.403055515115431,1.3773025358429432,603
Criminology.,2.3788852871885835,2.3076296296296297,23882.615384615383,25000.0,54529.46153846154,54539.0,18131.136363636364,18137.5,1.508818375939571,1.476089344401858,91
Dance.,1.395134069071276,1.3367407407407408,24999.18181818182,26000.0,34439.242424242424,32954.0,10938.214285714286,11684.0,1.5058396463963184,1.5526765695420677,33
Dental Support Services and Allied Professions.,2.629587137380337,2.52307696632941,24645.23214285714,25000.0,63145.07142857143,62847.5,2817.1964285714284,2455.0,1.047927855610228,1.0365314245702824,56
Design and Applied Arts.,2.1217981883247647,1.994027845171886,26523.94298245614,27000.0,52515.96069868996,51779.0,19470.945205479453,18875.0,1.641747527746047,1.5747213933377993,228
Dietetics and Clinical Nutrition Services.,2.5059160581200213,2.2689000814000813,24018.565217391304,24500.0,53839.617021276594,53146.0,20566.75,21424.5,1.7674805727236857,1.6960269865988902,46
Drama/Theatre Arts and Stagecraft.,1.5183671111769048,1.4085488989325896,23632.288770053477,25000.0,34149.03684210526,34019.5,13057.234636871508,12832.0,1.6733582497252433,1.6578713476280413,187
"Ecology, Evolution, Systematics, and Population Biology.",2.2921508109804654,2.037995162070634,22551.82608695652,24173.5,48804.36956521739,48118.0,18540.48780487805,17435.0,1.6399447448123372,1.586289697908598,46
Economics.,4.327500741597429,3.628337301293117,21571.47385620915,22466.5,85587.59803921569,80248.0,31030.08,28596.5,1.5832646228586058,1.544093575183531,306
"Education, General.",1.8903411668792007,1.813629197746387,26083.45238095238,26608.5,47283.57142857143,47166.5,9439.80487804878,7407.0,1.2821627592882263,1.1899384533047899,42
"Electrical, Electronics, and Communications Engineering.",4.486356873292544,4.021247311827957,23787.986666666668,25000.0,100944.08444444444,99007.0,23180.12162162162,21523.0,1.3029235709604416,1.2705505207624408,225
Electrical/Electronic Engineering Technologies/Technicians.,2.813954196974458,2.6075925925925927,36539.06060606061,31000.0,85554.84848484848,85005.0,18588.71875,17610.0,1.2836111835059019,1.2612953483196083,33
"Engineering Technologies/Technicians, General.",3.296339226922175,3.0252,26169.68,27000.0,80184.92,80665.0,19980.96,19975.0,1.3554527533408376,1.362712282704262,25
"Engineering, General.",4.782743283440536,3.274648148148148,24459.0,27000.0,91259.55555555556,88354.5,21463.77142857143,19986.0,1.3170777696857792,1.2902955048096139,36
"English Language and Literature, General.",2.199439008141379,1.968282918149466,23316.918533604887,24546.0,48416.9633401222,47644.0,17970.229213483148,16825.0,1.6427474774077964,1.6031472081218274,491
Entrepreneurial and Small Business Operations.,3.0081255784954473,2.846666408398869,23371.185185185186,25000.0,63552.148148148146,65704.0,19183.28,17617.0,1.4393665878105557,1.457930055491031,27
Environmental/Environmental Health Engineering.,3.462023537556466,3.2801288277832334,23664.35714285714,24418.0,78937.35714285714,78918.5,15783.42857142857,16402.5,1.2612001954076282,1.2399025506457808,28
"Ethnic, Cultural Minority, Gender, and Group Studies.",2.594647866523782,2.32180728095434,21401.5,22153.0,51270.21875,51427.0,19858.50909090909,21848.0,1.658368124283271,1.7127400511698159,64
"Family and Consumer Sciences/Human Sciences, General.",1.8170229247482235,1.6401846153846154,26217.944444444445,26250.0,43481.38888888889,43008.0,10826.555555555555,11878.0,1.3465395537179985,1.3651957270962543,36
Film/Video and Photographic Arts.,1.890675637266574,1.699569200779727,24360.29090909091,25000.0,42785.89090909091,42536.5,18029.35576923077,17494.5,1.7481083555258012,1.7267465955604417,110
