INSTNM,CIPDESC,CREDDESC,DEBT_ALL_STGP_ANY_MDN,EARN_MDN_1YR,EARN_MDN_4YR,EARN_MDN_5YR,ROI_RATIO,EARN_GROWTH,GROWTH_RATIO
Alabama A & M University,"Computer and Information Sciences, General.",Bachelor's Degree,31000.0,63900.0,88490.0,85218.0,2.7489677419354837,21318.0,1.3336150234741784
Alabama A & M University,"Electrical, Electronics, and Communications Engineering.",Bachelor's Degree,35000.0,72241.0,98045.0,90409.0,2.5831142857142857,18168.0,1.251491535277751
Alabama A & M University,Mechanical Engineering.,Bachelor's Degree,30500.0,71954.0,87291.0,82929.0,2.718983606557377,10975.0,1.1525280040025572
Alabama A & M University,"Liberal Arts and Sciences, General Studies and Humanities.",Bachelor's Degree,33000.0,28877.0,43770.0,46627.0,1.412939393939394,17750.0,1.614676039754822
Alabama A & M University,"Biology, General.",Bachelor's Degree,28271.0,29098.0,44145.0,40721.0,1.4403806020303491,11623.0,1.3994432607052032
Alabama A & M University,"Psychology, General.",Bachelor's Degree,25500.0,26504.0,42127.0,41798.0,1.6391372549019607,15294.0,1.5770449743434953
Alabama A & M University,Criminal Justice and Corrections.,Bachelor's Degree,32500.0,31682.0,48912.0,45437.0,1.3980615384615385,13755.0,1.4341581970835175
Alabama A & M University,Social Work.,Bachelor's Degree,31000.0,,47121.0,51819.0,1.6715806451612902,,
Alabama A & M University,"Business Administration, Management and Operations.",Bachelor's Degree,33250.0,40183.0,58176.0,54650.0,1.643609022556391,14467.0,1.3600278724833885
University of Alabama at Birmingham,Communication and Media Studies.,Bachelor's Degree,26000.0,33190.0,44461.0,39661.0,1.525423076923077,6471.0,1.1949683639650497
University of Alabama at Birmingham,"Computer and Information Sciences, General.",Bachelor's Degree,24000.0,69633.0,104654.0,101625.0,4.234375,31992.0,1.4594373357459824
University of Alabama at Birmingham,"Teacher Education and Professional Development, Specific Levels and Methods.",Bachelor's Degree,31000.0,42981.0,49139.0,47772.0,1.5410322580645162,4791.0,1.1114678578906958
University of Alabama at Birmingham,"Teacher Education and Professional Development, Specific Subject Areas.",Bachelor's Degree,24573.0,32093.0,52435.0,47189.0,1.920359744434949,15096.0,1.470382949552862
University of Alabama at Birmingham,Biomedical/Medical Engineering.,Bachelor's Degree,22676.0,42570.0,90415.0,85321.0,3.762612453695537,42751.0,2.0042518205308903
University of Alabama at Birmingham,Civil Engineering.,Bachelor's Degree,26596.0,62283.0,78054.0,84553.0,3.1791622800421115,22270.0,1.3575614533660871
University of Alabama at Birmingham,"Electrical, Electronics, and Communications Engineering.",Bachelor's Degree,27000.0,76151.0,90089.0,99457.0,3.6835925925925928,23306.0,1.3060498220640568
University of Alabama at Birmingham,Mechanical Engineering.,Bachelor's Degree,26354.0,58191.0,89589.0,87901.0,3.3353950064506335,29710.0,1.5105600522417555
University of Alabama at Birmingham,"English Language and Literature, General.",Bachelor's Degree,24946.0,32324.0,48706.0,36019.0,1.4438787781608273,3695.0,1.1143113476054944
University of Alabama at Birmingham,"Liberal Arts and Sciences, General Studies and Humanities.",Bachelor's Degree,28500.0,40968.0,45714.0,50137.0,1.7591929824561403,9169.0,1.2238088264010936
University of Alabama at Birmingham,"Biology, General.",Bachelor's Degree,25000.0,28127.0,55174.0,55561.0,2.22244,27434.0,1.9753617520531874
University of Alabama at Birmingham,"Physiology, Pathology and Related Sciences.",Bachelor's Degree,,,,,,,
University of Alabama at Birmingham,Mathematics.,Bachelor's Degree,25350.0,46130.0,57453.0,52520.0,2.071794871794872,6390.0,1.1385215694775634
University of Alabama at Birmingham,Chemistry.,Bachelor's Degree,26000.0,33931.0,60318.0,59510.0,2.288846153846154,25579.0,1.75385340838761
University of Alabama at Birmingham,"Psychology, General.",Bachelor's Degree,27000.0,30132.0,46369.0,44287.0,1.6402592592592593,14155.0,1.4697663613434222
University of Alabama at Birmingham,Criminal Justice and Corrections.,Bachelor's Degree,27307.0,34459.0,51643.0,48974.0,1.793459552495697,14515.0,1.4212252241794596
University of Alabama at Birmingham,Social Work.,Bachelor's Degree,30000.0,35750.0,47791.0,45369.0,1.5123,9619.0,1.2690629370629372
University of Alabama at Birmingham,Sociology.,Bachelor's Degree,28979.0,28137.0,40148.0,38987.0,1.3453535318679044,10850.0,1.3856132494580091
